city,latitude,longitude,max_temp,humidity,cloudiness,windspeed,country,date
San Andrés,12.58,-81.7,80.6,83,40,11.41,CO,1609375701
Salme,28.04,85.09,35.6,93,20,3.36,NP,1609375826
Leningradskiy,69.38,178.42,-5.48,89,100,7.94,RU,1609375827
Jieshi,22.81,115.83,45.0,30,77,3.0,CN,1609375831
Pulandian,39.4,121.97,19.4,67,75,6.71,CN,1609375832
Isangel,-19.55,169.27,80.6,83,90,6.93,VU,1609375833
Hanchuan,30.65,113.77,26.6,45,0,4.47,CN,1609375562
Chittarkonda,18.12,82.08,59.2,82,96,2.48,IN,1609375835
Ekimchan,53.07,132.97,-31.79,77,0,2.24,RU,1609375837
Agadez,19.75,10.25,58.87,30,0,5.88,NE,1609375838
Digboi,27.38,95.63,48.2,93,20,1.23,IN,1609375839
Pacific Grove,36.62,-121.92,53.6,76,1,4.7,US,1609375552
Gamba,-2.65,10.0,76.53,91,100,4.0,GA,1609375841
Gold Coast,-28.0,153.43,84.0,78,90,9.17,AU,1609375555
Rawson,-43.3,-65.1,59.68,49,100,4.81,AR,1609375843
Margate,51.38,1.39,36.0,84,94,5.93,GB,1609375845
Wells,51.21,-2.65,32.0,97,0,4.7,GB,1609375846
Najrān,17.49,44.13,53.6,58,0,0.54,SA,1609375847
Madīnat Sittah Uktūbar,29.82,31.05,53.6,100,99,8.68,EG,1609375848
Sitka,57.05,-135.33,41.0,86,20,11.41,US,1609375849
Malbork,54.04,19.03,32.0,96,0,6.93,PL,1609375850
Sittwe,20.15,92.9,63.95,63,0,7.09,MM,1609375852
Manadhoo,5.77,73.38,82.31,77,100,15.57,MV,1609375853
Touros,-5.2,-35.46,78.8,83,40,9.17,BR,1609375854
Yvetot,49.62,0.76,39.99,95,100,4.72,FR,1609375856
Birao,10.28,22.79,71.29,31,0,5.95,CF,1609375858
Haines Junction,60.75,-137.51,16.74,93,100,1.83,CA,1609375859
Muzaffarabad,34.37,73.47,40.28,50,0,7.94,PK,1609375860
Samarai,-10.62,150.67,86.81,65,76,6.42,PG,1609375861
Urengoy,65.97,78.37,-18.29,85,70,7.87,RU,1609375862
Yanggu,36.11,115.78,20.48,58,0,2.71,CN,1609375864
Abu Samrah,35.3,37.18,47.08,59,0,6.44,SY,1609375865
Wanning,18.8,110.4,57.42,70,94,16.35,CN,1609375866
Ust-Nera,64.57,143.2,-27.26,74,46,7.31,RU,1609375867
Baruun-Urt,46.68,113.28,-12.03,82,0,8.97,MN,1609375868
Ormara,25.21,64.64,65.12,50,80,6.4,PK,1609375869
Ilabaya,-17.42,-70.51,64.09,67,100,3.8,PE,1609375871
Maumere,-8.62,122.21,83.07,73,67,5.28,ID,1609375872
Ust-Maya,60.42,134.53,-35.9,81,100,1.16,RU,1609375873
Aksarka,66.56,67.8,-23.01,87,5,5.79,RU,1609375874
Chenzhou,25.8,113.03,32.74,85,13,4.23,CN,1609375876
Dali,25.7,100.18,41.7,68,0,2.28,CN,1609375877
Geraldton,-28.77,114.6,73.4,69,90,5.82,AU,1609375878
San Cristobal,7.77,-72.22,66.27,91,96,2.86,VE,1609375879
Bakchar,57.02,82.07,-13.59,88,100,6.71,RU,1609375880
Roald,62.58,6.13,36.0,64,40,3.36,NO,1609375881
Campos dos Goytacazes,-21.75,-41.3,73.94,83,100,8.23,BR,1609375765
Maniitsoq,65.42,-52.9,29.52,93,100,15.19,GL,1609375884
Annau,37.89,58.52,23.0,92,90,4.7,TM,1609375742
Bereda,43.27,-7.54,46.0,100,100,5.99,ES,1609375886
Erenhot,43.65,111.98,-5.67,82,0,12.01,CN,1609375777
Roshchino,60.25,29.61,35.01,96,100,9.4,RU,1609375888
Hūn,29.13,15.95,55.76,35,0,4.56,LY,1609375889
Tamiahua,21.27,-97.45,70.99,87,0,14.61,MX,1609375891
Chiredzi,-21.05,31.67,72.84,89,90,8.46,ZW,1609375892
Sunnyside,46.32,-120.01,33.01,89,90,2.28,US,1609375893
Adrar,20.5,-10.07,69.35,31,67,8.99,MR,1609375894
Dauphin,51.15,-100.05,11.32,90,100,10.8,CA,1609375895
Waipawa,-41.41,175.52,64.99,72,13,14.99,NZ,1609375896
Saldanha,-33.01,17.94,57.2,76,0,2.24,ZA,1609375897
